Country,HS4
Namibia,"['Raw Copper', 'Radioactive Chemicals', 'Wood Charcoal', 'Cobalt Oxides and Hydroxides', 'Fish Fillets']"
Niger,"['Other Oily Seeds', 'Radioactive Chemicals', 'Gold', 'Aircraft Launch Gear', 'Tanned Sheep Hides']"
Nigeria,"['Scrap Vessels', 'Tin Ores', 'Tanned Sheep Hides', 'Other Oily Seeds', 'Cocoa Beans']"
Republic of the Congo,"['Tin Ores', 'Refined Copper', 'Special Purpose Ships', 'Rough Wood', 'Niobium, Tantalum, Vanadium and Zirconium Ore']"
Rwanda,"['Niobium, Tantalum, Vanadium and Zirconium Ore', 'Tin Ores', 'Tea', 'Coffee', 'Gold']"
Sao Tome and Principe,"['Cocoa Beans', 'Palm Oil', 'Gas Turbines', 'Other Nickel Products', 'Aircraft Parts']"
Senegal,"['Phosphoric Acid', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Ground Nuts', 'Titanium Ore', 'Soups and Broths']"
Seychelles,"['Recreational Boats', 'Processed Fish', 'Non-fillet Frozen Fish', 'Animal Meal and Pellets', 'Fish Oil']"
Sierra Leone,"['Titanium Ore', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Aluminium Ore', 'Rough Wood', 'Cocoa Beans']"
South Africa,"['Chromium Ore', 'Manganese Ore', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Granulated Slag', 'Titanium Ore']"
South Sudan,"['Forage Crops', 'Crude Petroleum', 'Insect Resins', 'Onions', 'Gold']"
Sudan,"['Other Oily Seeds', 'Insect Resins', 'Sheep and Goats', 'Ground Nuts', 'Ground Nut Oil']"
Tanzania,"['Tin Ores', 'Coconut and Other Vegetable Fibers', 'Coconuts, Brazil Nuts, and Cashews', 'Precious Metal Ore', 'Quicklime']"
Togo,"['Calcium Phosphates', 'Plaiting Products', 'Other Oily Seeds', 'Fake Hair', 'Cement']"
Tunisia,"['Pure Olive Oil', 'Phosphinates and Phosphonates', 'Phosphoric Acid', 'Fluorides', 'Utility Meters']"
Uganda,"['Cereal Flours', 'Coffee', 'Vanilla', 'Cocoa Beans', 'Bran']"
Zambia,"['Raw Copper', 'Sulfuric Acid', 'Quicklime', 'Precious Stones', 'Refined Copper']"
Zimbabwe,"['Nickel Ore', 'Raw Tobacco', 'Granite', 'Nickel Mattes', 'Chromium Ore']"
