Country,HS4
Rwanda,"['Manganese Ore', 'Cocoa Beans', 'Other Oily Seeds', 'Insect Resins', 'Palm Oil']"
Sao Tome and Principe,"[""Collector's Items"", 'Scrap Copper', 'Non-fillet Frozen Fish', 'Precious Metal Scraps', 'Surveying Equipment']"
Senegal,"['Cocoa Beans', 'Raw Sugar', 'Spices', 'Bananas', 'Crude Petroleum']"
Seychelles,"['Crustaceans', 'Scrap Vessels', 'Crude Petroleum', 'Molluscs', 'Processed Fish']"
Sierra Leone,"['Coconut Oil', 'Tin Ores', 'Rubber', 'Manganese Ore', 'Gold']"
South Africa,"['Raw Cotton', 'Crude Petroleum', 'Petroleum Gas', 'Dried Legumes', 'Pharmaceutical Animal Products']"
South Sudan,"['Petroleum Gas', 'Raw Cotton', 'Cocoa Beans', 'Other Oily Seeds', 'Wool']"
Sudan,"['Manganese Ore', 'Cocoa Beans', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Tropical Fruits', 'Other Hides and Skins']"
Tanzania,"['Insect Resins', 'Other Ores', 'Palm Oil', 'Crustaceans', 'Raw Sugar']"
Togo,"['Bananas', 'Insect Resins', 'Molasses', 'Crustaceans', 'Niobium, Tantalum, Vanadium and Zirconium Ore']"
Tunisia,"['Packing Bags', ""Knit Men's Coats"", 'Knitted Hats', 'Processed Crustaceans', 'Pepper']"
Uganda,"['Manganese Ore', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Crustaceans', 'Other Hides and Skins', 'Coconuts, Brazil Nuts, and Cashews']"
Zambia,"['Niobium, Tantalum, Vanadium and Zirconium Ore', 'Cocoa Beans', 'Tropical Fruits', 'Other Oily Seeds', 'Tin Ores']"
Zimbabwe,"['Manganese Ore', 'Tin Ores', 'Cocoa Beans', 'Coal Briquettes', 'Other Oily Seeds']"
